あーるえーじー	RAG
あいでぃーいー	IDE
あいでんてぃてぃぷろばいだ	Identity Provider
あじゅーる	Azure
あんどろいど	Android
あんどろいどすたじお	Android Studio
いしゅーとらっかー	イシュートラッカー	2200
いべんとそーしんぐ	イベントソーシング	2200
うぇぶあせんぶり	WebAssembly
うぇぶじーえる	WebGL
うぇぶじーぴーゆー	WebGPU
えーあい	AI
えーえすたー	A*
えーだぶりゅーえす	AWS
えーぴーあい	API
えすえすえる	SSL
えすきゅーえる	SQL
えすでぃーけー	SDK
えすあーるいー	SRE
えっくすこーど	Xcode
えるえるえむ	LLM
えらすてぃっくさーち	Elasticsearch
えんどつーえんどてすと	E2Eテスト
おーぷんえーぴーあい	OpenAPI
おーぷんあいでぃーこねくと	OpenID Connect
おーおーす	OAuth
おぶざーばびりてぃ	オブザーバビリティ
おぶじぇくてぃぶしー	Objective-C
がーべじこれくしょん	ガベージコレクション	2200
かなりありりーす	カナリアリリース	2200
きゃっしゅむこうか	キャッシュ無効化	2200
ぎっと	Git
ぎっとはぶ	GitHub
ぎっとはぶあくしょんず	GitHub Actions
ぎっとはぶこぱいろっと	GitHub Copilot
ぎっとらぶ	GitLab
くーばねてす	Kubernetes
くらうどねいてぃぶ	クラウドネイティブ	2200
くらうどふれあ	Cloudflare
ぐらふきゅーえる	GraphQL
くろすさいとすくりぷてぃんぐ	クロスサイトスクリプティング	2200
けいぞくてきいんてぐれーしょん	継続的インテグレーション	2200
けいぞくてきでりばりー	継続的デリバリー	2200
ごー	Go
こーどれびゅー	コードレビュー
こっとりん	Kotlin
さーきっとぶれーかー	サーキットブレーカー	2200
さーばーさいどれんだりんぐ	サーバーサイドレンダリング	2200
さーばーれす	サーバーレス
しーあいしーでぃー	CI/CD
しーえるあい	CLI
しーしゃーぷ	C#
しーぷらすぷらす	C++
じーあーるぴーしー	gRPC
じーしーぴー	GCP
じーぴーゆー	GPU
じぇいそん	JSON
じゃば	Java
じゃばすくりぷと	JavaScript
すうぃふと	Swift
すうぃふとぱっけーじまねーじゃー	Swift Package Manager
すうぃふとゆーあい	SwiftUI
すきゅーえるらいと	SQLite
すから	Scala
すべると	Svelte
ぜろだうんたいむ	ゼロダウンタイム	2200
ぜろとらすと	ゼロトラスト	2200
たいぷすくりぷと	TypeScript
たいぷせーふ	型安全	2500
てぃーしーぴーあいぴー	TCP/IP
てぃーでぃーでぃー	TDD
てぃーえるえす	TLS
でぃーでぃーでぃー	DDD
でぃーえぬえす	DNS
でっどろっく	デッドロック
でぶおぷす	DevOps
てらふぉーむ	Terraform
どっかー	Docker
どめいんくどうせっけい	ドメイン駆動設計	2200
ねくすとじぇいえす	Next.js
ぬくすとじぇいえす	Nuxt.js
ねいてぃぶあぷり	ネイティブアプリ	2200
ばーせる	Vercel
ばっくぷれっしゃー	バックプレッシャー	2200
ぱいそん	Python
びじゅあるすたじおこーど	Visual Studio Code
ふぃーちゃーふらぐ	フィーチャーフラグ	2200
ふらったー	Flutter
ぶいえすこーど	VS Code
ぶるーぐりーんでぷろい	ブルーグリーンデプロイ	2200
ぷるりくえすと	プルリクエスト
ぷろとこるばっふぁー	Protocol Buffers
ぷろめてうす	Prometheus
ぽすとぐれすきゅーえる	PostgreSQL
まいえすきゅーえる	MySQL
まいくろさーびす	マイクロサービス	2200
めもりりーく	メモリリーク	2200
もんごでぃーびー	MongoDB
やむる	YAML
らすとげんご	Rust
りあくと	React
りあくとねいてぃぶ	React Native
りでぃす	Redis
りふぁくたりんぐ	リファクタリング
れいてんし	レイテンシ
ろーるばっく	ロールバック	2200
わずむ	WASM
